"Capítol","Text_Capítol","Article","Text_Article","Concepte","Text_Concepte","Subconcepte","Text_Subconcepte","Orgànic","Text_Orgànic","Àrees","Text_Àrees","Política","Text_política","Grup_de_programes","Text_Grup_de_programes","Programes","Text_Programes","Subprogrames","Text_Subprogrames","PREV.INICIAL","MODIF.PREVISIÓ","PREV.DEFINITIVA","DRETS_RECONEGUTS","DRETS_ANUL./CANC.","DRETS_LIQUIDATS","RECAPTAT_LIQUIDAT"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45053","Generalitat-Programes joventut","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","18.250,00","0,00","18.250,00","17337.5","0,00","17337.5","0,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45060","Altres transferències de la CCAA conveni","0504","GERÈNCIA DE MOBILITAT I INFRAESTRUCTURES","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","50.000,00","0,00","50.000,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45080","Altres subvencions de la CCAA","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","9,00","0,00","9,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45080","Altres subvencions de la CCAA","0800","GERÈNCIA CULTURA.EDUCACIÓ.CIÈNCIA I COMU","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","1,00","0,00","1,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45081","Subvencions fin. Gener. per eleccions","0705","GERÈNCIA DE RECURSOS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","1576446.88","1576456.88","1576456.88","0,00","1576456.88","1576456.88"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","450","DE L'ADMINIST. GENERAL DE LA COMUNITAT A","45083","Fons Foment Turisme","0700","GERÈNCIA ECONOMIA.RECURSOS I PROM.ECONOM","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","9.350.000,00","0,00","9.350.000,00","4664313.26","0,00","4664313.26","4664313.26"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","451","D'ORGANISMES AUTÒNOMS I AGÈNCIES DE LA C","45100","Subvenció OOAA Generalitat","0700","GERÈNCIA ECONOMIA.RECURSOS I PROM.ECONOM","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","306288.44","306298.44","306298.44","0,00","306298.44","306298.44"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","451","D'ORGANISMES AUTÒNOMS I AGÈNCIES DE LA C","45102","Aportacions Agència Habitatge de la Generalitat","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","451","D'ORGANISMES AUTÒNOMS I AGÈNCIES DE LA C","45103","Aportacions EAPC Formació de personal","0707","GERÈNCIA PERSONES I DESEV.ORGANITZATIU","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","164829.11","0,00","164829.11","164829.11"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","451","D'ORGANISMES AUTÒNOMS I AGÈNCIES DE LA C","45104","Aportació ICD Inst.Cat Dona","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","46.000,00","0,00","46.000,00","81.172,00","0,00","81.172,00","2.300,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","453","DE SOC MERCANTILS . EPE'S I ALTRES ORG.P","45300","D'empreses públiques i altres de CCAA","0300","GER.ÀREA AGENDA 2030. TRANS.DIGITAL I ES","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","0,00","153.293,00","153.293,00","204390.5","0,00","204390.5","204390.5"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","453","DE SOC MERCANTILS . EPE'S I ALTRES ORG.P","45300","D'empreses públiques i altres de CCAA","0502","GERÈNCIA MEDI AMBIENT I SERVEIS URBANS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","1,00","0,00","1,00","85.000,00","0,00","85.000,00","85.000,00"
"4","TRANSFERÈNCIES CORRENTS","45","DE COMUNITATS AUTÒNOMES","453","DE SOC MERCANTILS . EPE'S I ALTRES ORG.P","45300","D'empreses públiques i altres de CCAA","0705","GERÈNCIA DE RECURSOS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","9,00","0,00","9,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","46","D'ENTITATS LOCALS","461","DE DIPUTACIONS. CONSELLS O CABILDOS","46100","Aportacions de la Diputació de Barcelona","0705","GERÈNCIA DE RECURSOS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","46","D'ENTITATS LOCALS","461","DE DIPUTACIONS. CONSELLS O CABILDOS","46110","Subv. finalistes de DIBA afers socials","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","46","D'ENTITATS LOCALS","461","DE DIPUTACIONS. CONSELLS O CABILDOS","46120","Aport. DIBA per a conveni discapacitats","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","46","D'ENTITATS LOCALS","462","D'AJUNTAMENTS","46200","Transferències d'Ajuntaments","0705","GERÈNCIA DE RECURSOS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","46","D'ENTITATS LOCALS","464","D'ÀREES METROPOLITANES","46402","Subv.retorn cànon dep.residus (AMB)","0502","GERÈNCIA MEDI AMBIENT I SERVEIS URBANS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","1.000.000,00","0,00","1.000.000,00","385787.65","0,00","385787.65","385787.65"
"4","TRANSFERÈNCIES CORRENTS","46","D'ENTITATS LOCALS","464","D'ÀREES METROPOLITANES","46408","Aportacions de l'Àrea Metropolitana","0504","GERÈNCIA DE MOBILITAT I INFRAESTRUCTURES","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","20.000,00","0,00","20.000,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","46","D'ENTITATS LOCALS","464","D'ÀREES METROPOLITANES","46409","Aportació A.M.B.per gestió CUESB ampliat","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","440.000,00","0,00","440.000,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","46","D'ENTITATS LOCALS","467","CONSORCIS","46700","Aportacions de Consorcis","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","22822.4","0,00","22822.4","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","46","D'ENTITATS LOCALS","469","ALTRES SUBVENCIONS D'ENTITATS LOCALS","46900","Altres subvencions d'entitats locals","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","47","D'EMPRESES PRIVADES","470","D'EMPRESES PRIVADES","47000","Aportacions finalistes empreses privades","0504","GERÈNCIA DE MOBILITAT I INFRAESTRUCTURES","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","1,00","0,00","1,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","47","D'EMPRESES PRIVADES","470","D'EMPRESES PRIVADES","47000","Aportacions finalistes empreses privades","0602","EIXAMPLE","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","7,00","35.993,00","36.000,00","36.000,00","0,00","36.000,00","18.000,00"
"4","TRANSFERÈNCIES CORRENTS","47","D'EMPRESES PRIVADES","470","D'EMPRESES PRIVADES","47000","Aportacions finalistes empreses privades","0604","LES CORTS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","1,00","0,00","1,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","47","D'EMPRESES PRIVADES","470","D'EMPRESES PRIVADES","47000","Aportacions finalistes empreses privades","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","0.01","0,00","0.01","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","47","D'EMPRESES PRIVADES","470","D'EMPRESES PRIVADES","47001","Donacions COVID-19","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","48","DE FAMILIES I INS. SENSE AFANY DE LUCRE","480","DE FAMILIES I INS. SENSE AFANY DE LUCRE","48000","Aportacions de famílies i institucions","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","600.000,00","0,00","600.000,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","48","DE FAMILIES I INS. SENSE AFANY DE LUCRE","480","DE FAMILIES I INS. SENSE AFANY DE LUCRE","48010","Aport. finalistes famílies i institucions","0800","GERÈNCIA CULTURA.EDUCACIÓ.CIÈNCIA I COMU","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","10,00","0,00","10,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","49","DE L'EXTERIOR","491","FONS DE DESENVOLUPAMENT REGIONAL","49115","FEDER Conveni GenCat PO-RIS3CAT 2014-2020","0701","GERÈNCIA DE PRESSUPOSTOS I HISENDA","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","0,00","0,00","0,00","619492.78","0,00","619492.78","619492.78"
"4","TRANSFERÈNCIES CORRENTS","49","DE L'EXTERIOR","491","FONS DE DESENVOLUPAMENT REGIONAL","49116","Aport. FEDER 2014-2020 eix 2 EDUSI","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","1","Serveis públics bàsics","15","Habitatge i urbanisme","153","Vies públiques","1534","Espai públic","15346","EDUSI (espai públic)","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","49","DE L'EXTERIOR","497","ALTRES TRANSFERÈNCIES DE LA UE","49700","Aport. UE i d'altres municipis europeus","0200","GER.DRETS SOCIALS.JUSTICIA GLOBAL. FEMIN","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","0,00","0,00","0,00","595736.65","0,00","595736.65","595736.65"
"4","TRANSFERÈNCIES CORRENTS","49","DE L'EXTERIOR","497","ALTRES TRANSFERÈNCIES DE LA UE","49700","Aport. UE i d'altres municipis europeus","0400","GERÈNCIA D'ÀREA DE SEGURETAT I PREVENCIÓ","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","0,00","10.648,00","10.648,00","0,00","0,00","0,00","0,00"
"4","TRANSFERÈNCIES CORRENTS","49","DE L'EXTERIOR","497","ALTRES TRANSFERÈNCIES DE LA UE","49700","Aport. UE i d'altres municipis europeus","0504","GERÈNCIA DE MOBILITAT I INFRAESTRUCTURES","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","0,00","25838.55","25838.55","146379.71","0,00","146379.71","146379.71"
"4","TRANSFERÈNCIES CORRENTS","49","DE L'EXTERIOR","497","ALTRES TRANSFERÈNCIES DE LA UE","49700","Aport. UE i d'altres municipis europeus","0800","GERÈNCIA CULTURA.EDUCACIÓ.CIÈNCIA I COMU","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","0,00","33799.82","33799.82","33799.82","0,00","33799.82","33799.82"
"5","INGRESSOS PATRIMONIALS","51",,"514","DE SOC. MERCANTILS. EPES I ALTRES ORG","51400","Ing.crèdits – Operac. BAMSA","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","2909272.24","0,00","2909272.24","0,00","0,00","0,00","0,00"
"5","INGRESSOS PATRIMONIALS","52","INTERESSOS DE DIPÒSITS","520","EN COMPTES DE BANCS O CAIXES D'ESTALVIS","52000","Inter. de dipòs. ctes. de bancs o caixes","0703","GERÈNCIA PRESSUP I HISENDA-SERV.CENTRALS","9","Actuacions de caràcter general","93","Administració financera i tributària","932","Gestió del sistema tributari","9321","Administració tributària i d'ingressos municipals","93219","Serveis d’ingressos","50.000,00","0,00","50.000,00","0,00","0,00","0,00","0,00"
